CMDLINE python train_bpe_tinystories.py
MEM 1.000000 1784535812.1234
MEM 15.500000 1784535812.2312
CHLD 28948 36.546875 1784535812.2326
CHLD 28949 35.808594 1784535812.2326
CHLD 28950 37.062500 1784535812.2326
CHLD 28951 36.062500 1784535812.2327
MEM 15.500000 1784535812.3330
CHLD 28948 51.296875 1784535812.3341
CHLD 28949 51.308594 1784535812.3341
CHLD 28950 51.812500 1784535812.3342
CHLD 28951 52.062500 1784535812.3342
MEM 15.500000 1784535812.4417
CHLD 28948 69.546875 1784535812.4425
CHLD 28949 74.558594 1784535812.4425
CHLD 28950 70.312500 1784535812.4425
CHLD 28951 74.812500 1784535812.4425
MEM 15.500000 1784535812.5464
CHLD 28948 85.296875 1784535812.5476
CHLD 28949 92.308594 1784535812.5476
CHLD 28950 86.562500 1784535812.5476
CHLD 28951 93.562500 1784535812.5476
MEM 15.500000 1784535812.6549
CHLD 28948 100.546875 1784535812.6562
CHLD 28949 100.558594 1784535812.6562
CHLD 28950 100.312500 1784535812.6562
CHLD 28951 100.312500 1784535812.6562
MEM 26.414062 1784535812.7616
MEM 33.730469 1784535812.8691
MEM 36.980469 1784535812.9770
MEM 37.953125 1784535813.0852
MEM 38.953125 1784535813.1936
MEM 39.453125 1784535813.3021
MEM 39.703125 1784535813.4106
MEM 39.953125 1784535813.5143
MEM 39.953125 1784535813.6227
MEM 40.203125 1784535813.7306
MEM 40.203125 1784535813.8390
MEM 40.203125 1784535813.9458
MEM 40.453125 1784535814.0543
MEM 40.453125 1784535814.1629
MEM 40.453125 1784535814.2707
MEM 40.453125 1784535814.3720
MEM 40.453125 1784535814.4778
MEM 40.453125 1784535814.5860
MEM 40.703125 1784535814.6941
MEM 43.203125 1784535814.8023
MEM 43.203125 1784535814.9036
MEM 43.203125 1784535815.0111
MEM 43.203125 1784535815.1185
MEM 43.453125 1784535815.2265
MEM 43.453125 1784535815.3345
MEM 43.453125 1784535815.4423
MEM 43.453125 1784535815.5501
MEM 43.453125 1784535815.6580
